mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,9.48803557,615.8,2.9575,0.146,35.8,2.26,793.0,2.0,5455.0,0.927,0.919,4.467
Kepler,CONFIRMED,0.969,0.0,0.0,0.0,0.0,54.4183827,874.8,4.507,0.586,25.8,2.83,443.0,2.0,5455.0,0.927,0.919,4.467
Kepler,CANDIDATE,0.0,0.0,0.0,0.0,0.0,19.89913995,10829.0,1.7822,0.969,76.3,14.6,638.0,1.0,5853.0,0.868,0.961,4.544
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,1.736952453,8079.2,2.40641,1.276,505.6,33.46,1395.0,1.0,5805.0,0.791,0.836,4.564
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.525591777,603.3,1.6545,0.701,40.9,2.75,1406.0,1.0,6031.0,1.046,1.095,4.438
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,11.09432054,1517.5,4.5945,0.538,66.5,3.9,835.0,3.0,6046.0,0.972,1.053,4.486
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.13443512,686.0,3.1402,0.762,40.2,2.77,1160.0,3.0,6046.0,0.972,1.053,4.486
Kepler,CONFIRMED,0.992,0.0,0.0,0.0,0.0,2.56658897,226.5,2.429,0.755,15.0,1.59,1360.0,3.0,6046.0,0.972,1.053,4.486
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,7.36178958,233.7,5.022,1.169,47.7,39.21,1342.0,1.0,6227.0,1.958,1.358,3.986
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,16.06864674,4914.3,3.5347,0.052,161.9,5.76,600.0,3.0,5031.0,0.848,0.801,4.485
Kepler,CONFIRMED,0.811,0.0,0.0,0.0,0.0,2.470613377,14231.0,1.74319,0.818,4304.3,13.04,1339.0,1.0,5820.0,0.964,0.971,4.457
Kepler,CONFIRMED,1.0,0.0,1.0,0.0,0.0,2.204735417,6674.7,3.88864,0.224,5945.9,16.1,2048.0,1.0,6440.0,1.952,1.449,4.019
Kepler,CONFIRMED,0.998,0.0,0.0,0.0,0.0,3.522498429,9145.7,3.19843,0.631,1741.5,14.59,1521.0,1.0,6225.0,1.451,1.132,4.169
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.709214104,131.1,2.6302,0.051,50.6,1.16,1206.0,2.0,5833.0,1.022,0.974,4.407
